key,clube,jogador,posicao,id,totalTackle,possessionLostCtrl,aerialWon,penaltyConceded,totalCross,accuratePass,goodHighClaim,totalClearance,goalAssist,ownGoals,shotOffTarget,minutesPlayed,lastManTackle,onTargetScoringAttempt,penaltyMiss,savedShotsFromInsideTheBox,clearanceOffLine,totalLongBalls,errorLeadToAGoal,interceptionWon,accurateCross,keyPass,punches,wonContest,totalPass,blockedScoringAttempt,touches,totalOffside,hitWoodwork,accurateLongBalls,totalKeeperSweeper,challengeLost,saves,accurateKeeperSweeper,bigChanceCreated,aerialLost,outfielderBlock,wasFouled,penaltySave,rating,duelWon,fouls,duelLost,penaltyWon,dispossessed,totalContest,bigChanceMissed,errorLeadToAShot,goals,total_shots,mando
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Bento,G,1016104,0,5,1,0,0,16,1,1,0,0,0,90,0,0,0,1,0,10,0,0,0,0,1,0,21,0,28,0,0,5,0,0,2,0,0,0,0,0,0,7.3,1,0,0,0,0,0,0,0,0,0,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Madson,D,243439,0,17,4,0,4,13,0,3,0,0,1,90,0,0,0,0,0,2,0,2,1,1,0,0,20,0,43,0,0,1,0,1,0,0,0,4,1,1,0,7.3,5,0,5,0,0,0,0,0,0,1,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Pedro Henrique,D,551774,0,4,1,0,1,14,0,1,0,0,1,45,0,1,0,0,0,4,0,1,0,0,0,0,17,0,26,0,0,2,0,0,0,0,0,2,3,0,0,7.7,1,2,4,0,0,0,0,0,1,2,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Thiago Heleno,D,33106,0,9,4,0,0,40,0,4,0,0,0,90,0,0,0,0,0,9,0,0,0,1,0,0,49,0,54,0,0,6,0,0,0,0,0,2,1,0,0,7.2,4,2,4,0,0,0,0,0,0,0,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Pedrinho,D,1100817,2,13,0,0,4,37,0,0,0,0,0,90,0,0,0,0,0,6,0,5,1,1,0,1,44,0,67,0,0,1,0,3,0,0,0,1,0,1,0,7.0,4,1,6,0,0,2,0,0,0,0,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Hugo Moura,M,973293,3,10,0,0,1,23,0,1,0,0,0,75,0,0,0,0,0,4,0,0,0,0,0,1,31,0,49,0,0,1,0,2,0,0,0,0,0,2,0,6.8,6,1,4,0,0,2,0,0,0,0,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Christian,M,981733,2,8,0,0,0,28,0,1,0,0,0,90,0,1,0,0,0,3,0,1,0,1,0,0,34,0,45,0,0,2,0,1,0,0,0,6,0,1,0,7.2,3,4,12,0,1,0,0,0,1,1,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Léo Cittadini,M,332171,3,9,1,0,2,17,0,0,0,0,0,82,0,0,0,0,0,1,0,0,1,1,0,1,21,1,40,0,0,1,0,3,0,0,0,3,1,2,0,6.5,7,2,10,0,2,1,0,0,0,1,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Vitor Bueno,M,808785,0,18,1,0,6,29,0,0,0,0,0,82,0,1,0,0,0,5,0,0,1,0,0,3,35,1,58,0,0,4,0,0,0,0,0,1,0,2,0,7.2,6,1,3,0,1,3,0,0,0,2,casa
15/04/2023AthleticoGoiásBrasileiroSérieA2023,Athletico,Rômulo,F,1133743,1,16,7,0,1,15,0,1,0,0,0,75,0,0,0,0,0,1,0,1,0,1,0,0,27,0,41,0,0,0,0,3,0,0,0,2,0,0,0,6.4,8,1,7,0,0,1,0,0,0,0,casa
