key,campeonato,data,hora,cidade,estadio,clube,adversario,gols_favor,gols_contra,gols_favor_ht,gols_contra_ht,tec_favor,tec_contra,nota_favor,nota_contra,escalacao_favor,escalacao_contra,shots_off_target_favor,shots_off_target_contra,ball_possession_favor,ball_possession_contra,aerials_won_favor,aerials_won_contra,dribbles_favor,dribbles_contra,offsides_favor,offsides_contra,shots_outside_box_favor,shots_outside_box_contra,big_chances_favor,big_chances_contra,accurate_passes_favor,accurate_passes_contra,shots_on_target_favor,shots_on_target_contra,goalkeeper_saves_favor,goalkeeper_saves_contra,counter_attack_goals_favor,counter_attack_goals_contra,corner_kicks_favor,corner_kicks_contra,possession_lost_favor,possession_lost_contra,counter_attack_shots_favor,counter_attack_shots_contra,counter_attacks_favor,counter_attacks_contra,fouls_favor,fouls_contra,tackles_favor,tackles_contra,total_shots_favor,total_shots_contra,interceptions_favor,interceptions_contra,passes_favor,passes_contra,crosses_favor,crosses_contra,clearances_favor,clearances_contra,hit_woodwork_favor,hit_woodwork_contra,long_balls_favor,long_balls_contra,duels_won_favor,duels_won_contra,blocked_shots_favor,blocked_shots_contra,big_chances_missed_favor,big_chances_missed_contra,shots_inside_box_favor,shots_inside_box_contra,yellow_cards_favor,yellow_cards_contra,red_cards_favor,red_cards_contra,ano,total_aerea,perc_aerea_contra,perc_aerea_favor,passes_fin_favor,passes_fin_contra,fin_perc_favor,fin_perc_contra,finout_perc_favor,finout_perc_contra,finin_perc_favor,finin_perc_contra,bigchances_missed_perc_favor,bigchances_missed_perc_contra,mando
15/04/2023AtléticoMineiroVascodaGamaBrasileiroSérieA2023,Brasileiro Série A 2023,2023-04-15,21:00,Belo Horizonte,Governador Magalhaes Pinto,Vasco da Gama,Atlético Mineiro,2,1,2,1,Mauricio Barbieri,Eduardo Coudet,6.94,6.91,"['Léo Jardim', 'Puma Rodríguez', 'Robson Bambu', 'Léo', 'Lucas Piton', 'Rodrigo', 'Jair', 'Andrey Santos', 'Gabriel Pec', 'Pedro Raul', 'Alex Teixeira']","['Éverson', 'Renzo Saravia', 'Mauricio Lemos', 'Jemerson', 'Rubens', 'Matías Zaracho', 'Otávio', 'Hyoran', 'Cristian Pavón', 'Hulk', 'Paulinho']",1,7,26.0,74.0,12,16,7/19 (37%),15/23 (65%),2,2,1,11,1,2,136 (66%),527 (88%),3,10,9,1,0,0,3,14,129,156,0,0,0,0,10,15,27,20,7,26,12,6,207,601,6/12 (50%),11/46 (24%),31,10,0,0,19/51 (37%),22/40 (55%),61,60,3,9,0,2,6,15,5,6,0,0,2023,28,57.14285714285714,42.857142857142854,29.571428571428573,23.115384615384617,42.857142857142854,38.46153846153847,14.285714285714285,42.30769230769231,85.71428571428571,57.692307692307686,0.0,100.0,fora
23/04/2023VascodaGamaPalmeirasBrasileiroSérieA2023,Brasileiro Série A 2023,2023-04-23,16:00,Rio de Janeiro,Estádio Vasco da Gama,Vasco da Gama,Palmeiras,2,2,2,1,Claudio Maldonado,Vitor Castanheira,6.66,6.83,"['Léo Jardim', 'Puma Rodríguez', 'Robson Bambu', 'Léo', 'Lucas Piton', 'Jair', 'Rodrigo', 'Andrey Santos', 'Gabriel Pec', 'Pedro Raul', 'Alex Teixeira']","['Weverton', 'Gustavo Garcia', 'Gustavo Gómez', 'Murilo', 'Joaquín Piquerez', 'Richard Rios', 'Zé Rafael', 'Artur', 'Gabriel Menino', 'Dudu', 'Rafael Navarro']",4,5,36.0,64.0,19,25,15/23 (65%),13/16 (81%),0,0,4,8,3,1,176 (69%),376 (81%),3,7,5,1,1,0,2,5,130,145,3,1,3,1,19,15,12,15,11,13,8,6,255,466,1/16 (6%),4/31 (13%),41,28,0,0,17/46 (37%),29/56 (52%),60,71,4,1,1,0,7,5,4,3,0,0,2023,44,56.81818181818182,43.18181818181818,23.181818181818183,35.84615384615385,27.27272727272727,53.84615384615385,36.36363636363637,61.53846153846154,63.63636363636363,38.46153846153847,33.33333333333333,0.0,casa
01/05/2023VascodaGamaBahiaBrasileiroSérieA2023,Brasileiro Série A 2023,2023-05-01,20:00,Rio de Janeiro,Estádio Vasco da Gama,Vasco da Gama,Bahia,0,1,0,1,Mauricio Barbieri,Renato Paiva,6.89,6.92,"['Léo Jardim', 'Puma Rodríguez', 'Robson Bambu', 'Léo', 'Lucas Piton', 'Jair', 'Andrey Santos', 'Marlon Gomes', 'Gabriel Pec', 'Pedro Raul', 'Alex Teixeira']","['Marcos Felipe', 'Vítor Jacaré', 'Kanu', 'David Duarte', 'Rezende', 'Matheus Bahia', 'Ademir', 'Thaciano', 'Nicolás Acevedo', 'Cauly', 'Everaldo']",6,4,55.0,45.0,18,17,16/21 (76%),11/14 (79%),5,0,8,4,0,1,346 (80%),269 (76%),6,6,5,6,0,1,7,6,137,136,1,5,1,5,19,19,11,9,15,12,10,13,430,355,6/28 (21%),1/18 (6%),14,32,0,1,26/56 (46%),21/52 (40%),63,55,3,2,0,1,7,8,1,4,0,0,2023,35,48.57142857142857,51.42857142857142,28.666666666666668,29.583333333333332,40.0,50.0,53.333333333333336,33.33333333333333,46.666666666666664,66.66666666666666,,100.0,casa
06/05/2023FluminenseVascodaGamaBrasileiroSérieA2023,Brasileiro Série A 2023,2023-05-06,21:00,Rio de Janeiro,Estádio do Maracanã,Vasco da Gama,Fluminense,1,1,1,0,Mauricio Barbieri,Fernando Diniz,6.86,6.92,"['Léo Jardim', 'Puma Rodríguez', 'Robson Bambu', 'Léo', 'Lucas Piton', 'Jair', 'Rodrigo', 'Andrey Santos', 'Gabriel Pec', 'Pedro Raul', 'Alex Teixeira']","['Fábio', 'Samuel Xavier', 'Nino', 'Felipe Melo', 'Marcelo', 'André', 'Alexsander', 'Jhon Arias', 'Ganso', 'Lima', 'Germán Cano']",5,10,21.0,79.0,13,15,5/10 (50%),12/20 (60%),1,1,5,14,1,1,116 (59%),654 (89%),1,9,8,0,0,0,1,9,119,145,0,1,0,1,19,12,21,11,8,23,13,4,195,733,2/8 (25%),9/39 (23%),36,6,0,2,19/54 (35%),19/26 (73%),49,56,2,4,0,0,3,9,3,3,0,0,2023,28,53.57142857142857,46.42857142857143,24.375,31.869565217391305,12.5,39.130434782608695,62.5,60.86956521739131,37.5,39.130434782608695,0.0,0.0,fora
11/05/2023CoritibaVascodaGamaBrasileiroSérieA2023,Brasileiro Série A 2023,2023-05-11,19:00,Curitiba,Estádio Couto Pereira,Vasco da Gama,Coritiba,1,1,0,1,Mauricio Barbieri,Antonio Carlos Zago,6.85,6.66,"['Léo Jardim', 'Puma Rodríguez', 'Robson Bambu', 'Léo', 'Lucas Piton', 'Jair', 'Rodrigo', 'Andrey Santos', 'Gabriel Pec', 'Pedro Raul', 'Alex Teixeira']","['Gabriel Vasconcelos', 'Natanael', 'Bruno Viana', 'Henrique', 'Thiago Dombroski', 'Victor Luis', 'Gabriel Boschilia', 'Liziero', 'Bruno Gomes', 'Robson', 'Zé Roberto']",3,4,64.0,36.0,22,13,13/25 (52%),13/20 (65%),3,1,1,4,2,1,451 (83%),222 (73%),2,6,4,1,0,0,5,5,164,144,0,2,0,2,15,22,19,19,7,10,8,5,543,304,5/30 (17%),2/14 (14%),15,29,0,0,25/58 (43%),26/56 (46%),72,58,2,0,1,1,6,6,1,2,0,0,2023,35,37.142857142857146,62.857142857142854,77.57142857142857,30.4,28.57142857142857,60.0,14.285714285714285,40.0,85.71428571428571,60.0,50.0,100.0,fora
14/05/2023VascodaGamaSantosBrasileiroSérieA2023,Brasileiro Série A 2023,2023-05-14,16:00,Rio de Janeiro,Estádio Vasco da Gama,Vasco da Gama,Santos,0,1,0,1,Mauricio Barbieri,Odair Hellmann,6.89,6.99,"['Léo Jardim', 'Puma Rodríguez', 'Robson Bambu', 'Léo', 'Lucas Piton', 'Cauan Barros', 'Jair', 'Matías Galarza', 'Gabriel Pec', 'Pedro Raul', 'Figueiredo']","['João Paulo', 'Nathan', 'Messias', 'Joaquim', 'Gabriel Inocêncio', 'Rodrigo Fernández', 'Dodi', 'Ângelo', 'Lucas Lima', 'Lucas Braga', 'Deivid Washington']",10,3,69.0,31.0,17,27,21/33 (64%),16/32 (50%),0,3,8,2,1,1,431 (84%),163 (67%),9,1,0,9,0,0,14,1,169,138,0,0,0,0,14,12,28,26,23,6,6,9,516,245,14/50 (28%),2/5 (40%),5,52,0,0,14/37 (38%),11/43 (26%),78,82,4,2,1,1,15,4,4,1,0,0,2023,44,61.36363636363637,38.63636363636363,22.434782608695652,40.833333333333336,39.130434782608695,16.666666666666664,34.78260869565217,33.33333333333333,65.21739130434783,66.66666666666666,100.0,100.0,casa
20/05/2023SãoPauloVascodaGamaBrasileiroSérieA2023,Brasileiro Série A 2023,2023-05-20,18:30,Sao Paulo,Estádio Cicero Pompeu de Toledo,Vasco da Gama,São Paulo,2,4,1,2,Mauricio Barbieri,Dorival Júnior,6.63,7.0,"['Léo Jardim', 'Puma Rodríguez', 'Robson Bambu', 'Léo', 'Lucas Piton', 'Cauan Barros', 'Jair', 'Matías Galarza', 'Gabriel Pec', 'Pedro Raul', 'Figueiredo']","['Rafael', 'Rafinha', 'Diego Costa', 'Lucas Beraldo', 'Caio Paulista', 'Gabriel Neves', 'Luan', 'Rodrigo Nestor', 'Luciano', 'Marcos Paulo', 'Jonathan Calleri']",6,4,47.0,53.0,15,15,22/31 (71%),20/29 (69%),1,0,9,4,0,4,326 (83%),375 (82%),4,7,3,2,0,2,9,3,130,128,1,3,1,5,16,9,20,16,17,15,4,5,395,460,9/31 (29%),5/13 (38%),9,34,1,0,21/37 (57%),41/70 (59%),65,66,7,4,0,0,8,11,4,0,0,0,2023,30,50.0,50.0,23.235294117647058,30.666666666666668,23.52941176470588,46.666666666666664,52.94117647058824,26.666666666666668,47.05882352941176,73.33333333333333,,0.0,fora
27/05/2023FortalezaVascodaGamaBrasileiroSérieA2023,Brasileiro Série A 2023,2023-05-27,16:00,Fortaleza,Estadio Castelão,Vasco da Gama,Fortaleza,0,2,0,0,Claudio Maldonado,Juan Pablo Vojvoda,6.58,7.16,"['Léo Jardim', 'Paulo Henrique', 'Manuel Capasso', 'Léo', 'Lucas Piton', 'Cauan Barros', 'Jair', 'Matías Galarza', 'Gabriel Pec', 'Alex Teixeira', 'Figueiredo']","['João Ricardo', 'Tinga', 'Emanuel Brítez', 'Titi', 'Bruno Pacheco', 'Calebe', 'Hércules', 'Caio Alexandre', 'Moisés', 'Juan Martín Lucero', 'Thiago Galhardo']",2,5,50.0,50.0,16,17,9/23 (39%),12/21 (57%),3,3,7,4,0,3,310 (80%),304 (82%),1,6,5,1,0,0,5,9,136,126,1,1,1,1,15,11,18,22,11,15,8,5,388,370,4/18 (22%),9/27 (33%),18,20,1,0,26/59 (44%),21/51 (41%),53,66,8,4,0,3,4,11,1,3,0,0,2023,33,51.515151515151516,48.484848484848484,35.27272727272727,24.666666666666668,9.090909090909092,40.0,63.63636363636363,26.666666666666668,36.36363636363637,73.33333333333333,,100.0,fora
15/04/2023RedBullBragantinoBahiaBrasileiroSérieA2023,Brasileiro Série A 2023,2023-04-15,18:30,Braganca Paulista,Estadio Nabi Abi Chedid,Bahia,Red Bull Bragantino,1,2,1,0,Renato Paiva,Pedro Caixinha,6.75,6.8,"['Marcos Felipe', 'Gabriel Xavier', 'Kanu', 'Rezende', 'Vítor Jacaré', 'Thaciano', 'Yago Felipe', 'Jhoanner Chávez', 'Ademir', 'Everaldo', 'Cauly']","['Lucão', 'Aderlan', 'Leonardo Realpe', 'Natan', 'Juninho Capixaba', 'Jadsom', 'Matheus Fernandes', 'Ignacio Laquintana', 'Bruninho', 'Talisson', 'Alerrandro']",5,4,44.0,56.0,11,8,12/21 (57%),14/22 (64%),3,2,4,7,2,4,248 (72%),337 (77%),3,7,5,2,0,0,7,4,168,155,0,0,0,0,13,20,11,26,9,13,12,12,343,435,3/14 (21%),1/17 (6%),18,18,0,1,37/72 (51%),20/51 (39%),54,61,1,2,1,2,5,6,1,3,0,0,2023,19,42.10526315789473,57.89473684210527,38.111111111111114,33.46153846153846,33.33333333333333,53.84615384615385,44.44444444444444,53.84615384615385,55.55555555555556,46.15384615384615,50.0,50.0,fora
24/04/2023BahiaBotafogoBrasileiroSérieA2023,Brasileiro Série A 2023,2023-04-24,20:00,Salvador,Arena Fonte Nova,Bahia,Botafogo,1,2,1,1,Renato Paiva,Luís Castro,6.61,6.93,"['Marcos Felipe', 'Vítor Jacaré', 'Gabriel Xavier', 'David Duarte', 'Rezende', 'Jhoanner Chávez', 'Ademir', 'Nicolás Acevedo', 'Yago Felipe', 'Cauly', 'Everaldo']","['Lucas Perri', 'Leonel Di Plácido', 'Adryelson', 'Víctor Cuesta', 'Rafael', 'Danilo Barbosa', 'Lucas Fernandes', 'Júnior Santos', 'Eduardo', 'Victor Sá', 'Tiquinho Soares']",3,2,60.0,40.0,11,14,11/26 (42%),20/31 (65%),0,5,4,3,0,0,452 (84%),288 (79%),5,3,1,4,0,0,6,3,149,147,0,0,0,0,18,9,20,24,13,5,13,15,540,366,3/21 (14%),1/13 (8%),15,30,0,0,33/51 (65%),21/50 (42%),51,74,5,0,0,0,9,2,1,2,0,0,2023,25,56.00000000000001,44.0,41.53846153846154,73.2,38.46153846153847,60.0,30.76923076923077,60.0,69.23076923076923,40.0,,,casa
