key,clube,jogador,posicao,id,totalTackle,possessionLostCtrl,aerialWon,penaltyConceded,totalCross,accuratePass,goodHighClaim,totalClearance,goalAssist,ownGoals,shotOffTarget,minutesPlayed,lastManTackle,onTargetScoringAttempt,penaltyMiss,savedShotsFromInsideTheBox,clearanceOffLine,totalLongBalls,errorLeadToAGoal,interceptionWon,accurateCross,keyPass,punches,wonContest,totalPass,blockedScoringAttempt,touches,totalOffside,hitWoodwork,accurateLongBalls,totalKeeperSweeper,challengeLost,saves,accurateKeeperSweeper,bigChanceCreated,aerialLost,outfielderBlock,wasFouled,penaltySave,rating,duelWon,fouls,duelLost,penaltyWon,dispossessed,totalContest,bigChanceMissed,errorLeadToAShot,goals
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Rodolfo,G,824133,0,2,0,0,0,5,0,0,0,0,0,45,0,0,0,0,0,2,1,0,0,0,0,0,7,0,10,0,0,0,0,2,0,0,0,0,0,0,0,4.5,0,0,2,0,0,0,0,0,0
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Everton Santos,F,33826,0,5,0,0,1,34,0,0,1,0,0,90,0,0,0,0,0,5,0,3,1,1,0,0,38,0,50,0,0,3,0,2,0,0,0,1,0,2,0,5.6,2,1,4,0,0,0,0,0,0
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Vitor Mendes,D,988873,1,8,1,0,0,58,0,1,0,0,0,90,0,0,0,0,0,6,0,3,0,0,0,0,65,0,71,0,0,4,0,0,0,0,0,2,0,0,0,5.7,2,1,3,0,0,0,0,0,0
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Victor Oliveira,D,794891,0,8,2,1,0,56,0,5,0,0,0,90,0,0,0,0,0,11,0,0,0,0,0,0,62,0,71,0,0,7,0,0,0,0,0,0,0,0,0,4.9,2,4,6,0,1,1,0,0,0
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Renan Luis,D,869448,1,6,0,0,0,31,0,0,0,0,0,90,0,0,0,0,0,2,0,1,0,0,0,2,34,0,48,0,0,2,0,2,0,0,0,0,0,1,0,5.3,4,6,8,0,0,2,0,0,0
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Matheus Neris,M,979867,2,5,0,0,0,48,0,0,0,0,1,69,0,0,0,0,0,6,0,0,0,2,0,0,50,0,59,0,0,5,0,0,0,0,0,0,0,0,0,6.6,2,0,2,0,2,0,0,0,0
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Raimundo Nonato,M,931478,2,7,0,0,1,39,0,1,0,0,0,90,0,1,0,0,0,4,0,1,1,2,0,0,44,0,55,0,0,2,0,3,0,0,1,0,0,1,0,7.0,3,3,6,0,0,0,0,0,1
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Erison,F,1089111,0,15,3,0,1,12,0,0,0,0,1,90,0,2,0,0,0,0,0,0,0,0,0,1,13,1,38,0,1,0,0,1,0,0,0,2,0,1,0,5.5,5,4,16,0,5,5,1,0,1
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Diego Gonçalves,M,344077,0,5,0,0,1,6,0,0,0,0,1,39,0,0,0,0,0,1,0,0,0,0,0,0,7,0,12,1,0,0,0,0,0,0,0,0,0,0,0,5.9,0,1,2,0,1,1,0,0,0
29/01/2021FigueirensePontePretaBrasileiroSerieB2020,Figueirense,Dudu Feitoza,M,937750,0,11,0,0,2,9,0,0,0,0,1,39,0,0,0,0,0,3,0,0,0,0,0,1,17,0,23,0,0,0,0,1,0,0,0,0,0,0,0,6.2,1,0,1,0,0,1,0,0,0
