key,clube,jogador,posicao,id,totalTackle,possessionLostCtrl,aerialWon,penaltyConceded,totalCross,accuratePass,goodHighClaim,totalClearance,goalAssist,ownGoals,shotOffTarget,minutesPlayed,lastManTackle,onTargetScoringAttempt,penaltyMiss,savedShotsFromInsideTheBox,clearanceOffLine,totalLongBalls,errorLeadToAGoal,interceptionWon,accurateCross,keyPass,punches,wonContest,totalPass,blockedScoringAttempt,touches,totalOffside,hitWoodwork,accurateLongBalls,totalKeeperSweeper,challengeLost,saves,accurateKeeperSweeper,bigChanceCreated,aerialLost,outfielderBlock,wasFouled,penaltySave,rating,duelWon,fouls,duelLost,penaltyWon,dispossessed,totalContest,bigChanceMissed,errorLeadToAShot,goals
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Rafael Santos,G,108480,0,7,0,0,0,18,2,0,0,0,0,90,0,0,0,0,0,10,0,0,0,0,0,0,23,0,34,0,0,5,1,0,0,1,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Leandro Silva,D,551816,1,10,3,0,3,38,0,6,0,0,0,90,0,0,0,0,0,3,0,0,0,0,0,0,43,1,65,0,0,3,0,1,0,0,0,1,0,1,0,6.7,5,2,4,0,0,1,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Nery Bareiro,D,220831,0,6,8,0,0,41,0,8,0,0,0,90,0,0,0,0,0,3,0,1,0,0,0,0,47,0,61,0,0,1,0,0,0,0,0,0,1,1,0,7.0,9,3,3,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Victor Salinas,D,922590,1,12,3,0,0,34,0,3,0,0,0,90,0,0,0,0,0,4,0,1,0,0,0,0,45,0,55,0,0,1,0,0,0,0,0,1,1,0,0,6.8,4,1,2,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,João Paulo,D,76504,1,12,1,0,1,40,0,2,1,0,0,90,0,0,0,0,0,1,0,3,0,2,0,0,46,2,68,0,0,0,0,0,0,0,1,2,0,0,0,7.3,2,0,2,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Serginho,M,40080,1,5,0,0,0,16,0,0,0,0,0,69,0,0,0,0,0,1,0,1,0,2,0,0,21,0,25,0,0,0,0,1,0,0,0,0,0,0,0,6.5,1,4,5,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Gilberto Júnior,M,931547,0,4,0,0,0,31,0,0,0,0,0,60,0,0,0,0,0,2,0,2,0,0,0,1,33,0,38,0,0,1,0,0,0,0,0,0,0,0,0,6.5,1,2,3,0,0,2,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Daniel Penha,F,862256,3,15,1,0,2,33,0,0,0,0,1,90,0,2,0,0,0,10,0,0,0,0,0,0,42,1,57,1,0,4,0,1,0,0,0,1,1,0,0,7.3,4,2,6,0,2,0,0,0,1
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Neto Berola,M,79097,1,9,0,0,1,10,0,0,0,0,0,63,0,1,0,0,0,3,0,1,0,1,0,0,14,0,28,0,0,2,0,0,0,0,1,1,0,2,0,7.6,3,0,3,1,0,2,0,0,1
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Willians Santana,F,47009,1,5,1,0,0,12,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,14,0,21,3,0,0,0,1,0,0,0,1,0,0,0,6.7,2,3,5,0,0,1,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Luidy,M,870766,1,7,0,0,1,9,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,2,11,1,28,0,0,0,0,0,0,0,0,0,0,3,0,6.4,6,1,3,0,0,4,1,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Marcelinho,D,986868,0,8,1,0,1,10,0,0,1,0,0,30,0,0,0,0,0,1,0,0,0,3,0,1,15,0,20,0,0,1,0,1,0,0,1,1,0,1,0,7.0,3,0,3,0,0,2,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Bruno Sena,M,876731,0,4,0,0,0,39,0,0,0,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,43,0,44,0,0,4,0,0,0,0,0,0,0,0,0,6.8,0,1,1,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Alvaro,M,870586,0,3,0,0,0,17,0,0,0,0,0,21,0,0,0,0,0,1,0,2,0,0,0,0,18,0,22,0,0,1,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Cristiano,F,1023572,0,3,1,0,0,6,0,0,0,0,1,31,0,1,0,0,0,2,0,0,0,1,0,0,9,0,11,3,1,1,0,0,0,0,0,0,0,0,0,7.4,1,1,1,0,0,0,0,0,1
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Confiança,Lucas Barcellos,F,1000738,0,2,0,0,0,9,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,10,0,12,1,0,0,0,0,0,0,0,0,0,1,0,6.7,1,0,0,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Fábio,G,17785,0,1,0,1,0,7,0,0,0,0,0,43,0,0,0,0,0,1,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,2,1,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Raúl Cáceres,D,122971,1,9,0,0,6,35,0,3,0,0,0,90,0,0,0,0,0,2,0,3,2,1,0,0,39,1,64,0,0,0,0,1,0,0,0,1,0,0,0,6.6,1,1,3,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Joseph,M,981442,0,18,0,0,1,41,0,2,0,0,0,79,0,0,0,0,0,5,0,1,0,0,0,1,56,0,70,0,0,2,0,0,0,0,0,1,1,2,0,6.4,3,0,2,0,1,1,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Ramon,D,839516,1,4,3,0,0,48,0,4,0,0,0,90,0,0,0,0,0,10,0,0,0,0,0,1,52,0,63,0,0,8,0,1,0,0,0,1,2,2,0,6.9,6,0,2,0,0,1,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Matheus Pereira,D,1016898,2,12,1,0,3,31,0,0,0,0,0,90,0,0,0,0,0,3,0,2,0,1,0,0,36,0,60,0,0,0,0,0,0,0,0,0,0,2,0,6.2,4,3,5,0,1,1,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Matheus Barbosa,M,870590,0,10,0,0,3,13,0,0,0,0,1,45,0,0,0,0,0,1,0,1,0,1,0,0,19,0,26,0,0,1,0,0,0,0,0,1,0,1,0,6.7,1,0,1,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Adriano,M,989383,2,6,0,0,1,30,0,1,0,0,0,42,0,0,0,0,0,3,0,0,0,0,0,0,33,1,44,0,0,2,0,1,0,0,0,0,0,2,0,5.5,4,3,4,0,0,0,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Rômulo,M,147465,0,9,0,0,3,47,0,0,1,0,2,90,0,0,0,0,0,2,0,0,2,4,0,0,52,1,68,0,1,0,0,0,0,0,1,2,0,4,0,7.3,4,0,4,0,1,1,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Bruno José,M,974329,2,11,2,0,2,15,0,0,0,0,0,74,0,0,0,0,0,2,0,0,1,1,0,1,21,0,37,0,0,1,0,0,0,0,0,0,0,2,0,6.9,7,0,2,0,2,1,0,0,0
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Cruzeiro EC,Rafael Sóbis,F,17789,0,4,0,0,0,11,0,0,0,0,1,45,0,0,0,0,0,1,0,0,0,0,0,0,13,0,17,0,0,0,0,0,0,0,0,3,0,0,0,6.5,0,0,4,0,1,0,0,0,0
