key,campeonato,data,hora,cidade,estadio,casa,fora,gols_casa,gols_fora,gols_casa_ht,gols_fora_ht,tec_casa,tec_fora,nota_casa,nota_fora,escalacao_casa,escalacao_fora,shots_off_target_casa,shots_off_target_fora,ball_possession_casa,ball_possession_fora,aerials_won_casa,aerials_won_fora,dribbles_casa,dribbles_fora,offsides_casa,offsides_fora,shots_outside_box_casa,shots_outside_box_fora,big_chances_casa,big_chances_fora,accurate_passes_casa,accurate_passes_fora,shots_on_target_casa,shots_on_target_fora,goalkeeper_saves_casa,goalkeeper_saves_fora,counter_attack_goals_casa,counter_attack_goals_fora,corner_kicks_casa,corner_kicks_fora,possession_lost_casa,possession_lost_fora,counter_attack_shots_casa,counter_attack_shots_fora,counter_attacks_casa,counter_attacks_fora,fouls_casa,fouls_fora,tackles_casa,tackles_fora,total_shots_casa,total_shots_fora,interceptions_casa,interceptions_fora,passes_casa,passes_fora,crosses_casa,crosses_fora,clearances_casa,clearances_fora,hit_woodwork_casa,hit_woodwork_fora,long_balls_casa,long_balls_fora,duels_won_casa,duels_won_fora,blocked_shots_casa,blocked_shots_fora,big_chances_missed_casa,big_chances_missed_fora,shots_inside_box_casa,shots_inside_box_fora,yellow_cards_casa,yellow_cards_fora,red_cards_casa,red_cards_fora
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,Brasileiro Serie B 2021,29/05/2021,16:30,Aracaju,Estadio Lourival Baptista,Confiança,Cruzeiro EC,3,1,1,1,Rodrigo Santana,Felipe Conceição,6.86,6.46,"['Rafael Santos', 'Leandro Silva', 'Nery Bareiro', 'Victor Salinas', 'João Paulo', 'Serginho', 'Gilberto Júnior', 'Daniel Penha', 'Neto Berola', 'Willians Santana', 'Luidy']","['Fábio', 'Raúl Cáceres', 'Joseph', 'Ramon', 'Matheus Pereira', 'Matheus Barbosa', 'Adriano', 'Rômulo', 'Bruno José', 'Rafael Sóbis', 'Airton']",3,6,51%,49%,19,8,4/12 (33%),5/8 (63%),8,1,7,7,4,1,363 (84%),320 (80%),5,1,0,2,1,0,2,2,112,116,1,0,2,0,20,10,10,10,13,10,11,8,434,398,0/9 (0%),5/20 (25%),19,16,1,1,24/45 (53%),18/53 (34%),42,41,5,3,1,0,6,3,4,4,0,2
03/06/2021CruzeiroECJuazeirenseCopadoBrasil2021,Copa do Brasil 2021,03/06/2021,16:30,Belo Horizonte,Governador Magalhaes Pinto,Cruzeiro EC,Juazeirense,1,0,0,0,Felipe Conceição,Carlos Rabello,6.92,6.81,"['Fábio', 'Raúl Cáceres', 'Weverton', 'Ramon', 'Matheus Pereira', 'Matheus Neris', 'Rômulo', 'Bruno José', 'Rafael Sóbis', 'Airton', 'Bissoli']","['Rodrigo Calaça', 'Guilherme Lucena', 'Mineiro', 'Eduardo', 'Daniel Nazaré', 'Sapé', 'Waguinho', 'Patrik', 'Toni Galego', 'Clebson', 'Kesley']",7,4,69%,31%,23,19,7/15 (47%),5/6 (83%),0,3,7,4,2,0,524 (87%),171 (65%),3,3,3,2,0,0,11,6,148,132,0,0,0,0,22,19,10,26,16,8,7,18,605,262,6/22 (27%),2/11 (18%),11,21,0,0,29/48 (60%),28/64 (44%),59,70,6,1,1,0,9,4,3,5,0,0
06/06/2021CruzeiroECCRBBrasileiroSerieB2021,Brasileiro Serie B 2021,06/06/2021,18:15,Belo Horizonte,Governador Magalhaes Pinto,Cruzeiro EC,CRB,3,4,1,1,Felipe Conceição,Allan Rodrigo Aal,6.74,6.86,"['Lucas França', 'Raúl Cáceres', 'Joseph', 'Ramon', 'Matheus Pereira', 'Bruno José', 'Flávio', 'Rômulo', 'Airton', 'Bissoli', 'Rafael Sóbis']","['Diogo Silva', 'Reginaldo', 'Gum', 'Frazan', 'Guilherme Romão', 'Marthã Fernando', 'Jean Patrick', 'Ewandro', 'Diego Torres', 'Alisson Farias', 'Hyuri']",10,5,51%,49%,20,19,9/17 (53%),8/12 (67%),1,1,10,7,2,1,386 (83%),391 (83%),9,4,0,6,0,0,9,5,139,118,0,0,0,0,15,9,10,16,22,11,6,9,464,469,10/39 (26%),4/9 (44%),7,29,0,1,34/54 (63%),37/73 (51%),48,57,3,2,1,0,12,4,2,3,0,0
12/06/2021CruzeiroECGoiásBrasileiroSerieB2021,Brasileiro Serie B 2021,12/06/2021,21:00,Belo Horizonte,Governador Magalhaes Pinto,Cruzeiro EC,Goiás,1,1,0,0,Mozart Santos,Pintado,6.82,6.9,"['Fábio', 'Joseph', 'Ramon', 'Eduardo Brock', 'Matheus Pereira', 'Bruno José', 'Flávio', 'Rômulo', 'Airton', 'Bissoli', 'Rafael Sóbis']","['Tadeu', 'Apodi', 'David Duarte', 'Reynaldo', 'Hugo', 'Caio Vinícius', 'Breno', 'Dieguinho', 'Elvis', 'Alef Manga', 'Bruno Mezenga']",3,6,67%,33%,10,20,5/12 (42%),6/11 (55%),3,1,6,8,2,1,548 (89%),232 (75%),6,6,6,5,0,0,10,3,126,119,0,1,0,1,15,12,9,16,13,14,9,13,615,309,7/31 (23%),3/10 (30%),7,17,0,0,49/71 (69%),30/68 (44%),35,57,4,2,2,1,7,6,1,1,1,0
16/06/2021PontePretaCruzeiroECBrasileiroSerieB2021,Brasileiro Serie B 2021,16/06/2021,21:30,Campinas,Moisés Lucarelli,Ponte Preta,Cruzeiro EC,0,1,0,0,Gilson Kleina,Mozart Santos,6.72,6.89,"['Ygor Vinhas', 'Ednei', 'Cleylton', 'Ruan', 'Kevin', 'Vinícius Locatelli', 'Dawhan', 'Jean Carlos', 'Camilo', 'João Veras', 'Moisés']","['Fábio', 'Rômulo', 'Ramon', 'Eduardo Brock', 'Matheus Pereira', 'Flávio', 'Bruno José', 'Marcinho', 'Giovanni', 'Felipe Augusto', 'Rafael Sóbis']",4,4,58%,42%,12,15,6/13 (46%),4/8 (50%),1,0,6,12,0,0,460 (83%),319 (79%),2,4,3,2,0,0,2,2,139,125,0,0,0,0,19,14,8,12,7,14,8,14,553,406,1/11 (9%),1/10 (10%),14,16,0,0,34/73 (47%),44/77 (57%),40,47,1,6,0,0,1,2,2,2,0,0
19/06/2021OperárioFerroviárioCruzeiroECBrasileiroSerieB2021,Brasileiro Serie B 2021,19/06/2021,19:00,Ponta Grossa,Estadio Germano Kruger,Operário Ferroviário,Cruzeiro EC,2,1,1,1,Matheus Costa,Mozart Santos,6.85,6.53,"['Thiago Braga', 'Alex Silva', 'Renie', 'Rodolfo', 'Djalma da Silva', 'Pedro Ken', 'Leandro Vilela', 'Rodrigo Pimpão', 'Tomas Bastos', 'Jean Carlo', 'Paulo Sérgio']","['Fábio', 'Rômulo', 'Weverton', 'Ramon', 'Paulo', 'Felipe Augusto', 'Bruno José', 'Giovanni', 'Matheus Barbosa', 'Marcinho', 'Rafael Sóbis']",6,2,59%,41%,13,13,7/13 (54%),3/6 (50%),1,0,5,7,0,0,369 (80%),232 (68%),3,4,3,1,0,0,4,4,156,150,0,0,0,0,19,13,9,18,9,15,11,9,463,339,9/26 (35%),2/9 (22%),11,18,1,0,28/57 (49%),30/79 (38%),42,52,0,9,0,0,4,8,3,1,0,1
24/06/2021CruzeiroECVascodaGamaBrasileiroSerieB2021,Brasileiro Serie B 2021,24/06/2021,21:30,Belo Horizonte,Governador Magalhaes Pinto,Cruzeiro EC,Vasco da Gama,2,1,2,2,Mozart Santos,Marcelo Cabo,6.9,6.75,"['Fábio', 'Raúl Cáceres', 'Joseph', 'Ramon', 'Paulo', 'Felipe Augusto', 'Bruno José', 'Rômulo', 'Matheus Barbosa', 'Marcinho', 'Rafael Sóbis']","['Lucão', 'Zeca', 'Ernando', 'Leandro Castán', 'Riquelme', 'Morato', 'Bruno Gomes', 'Andrey', 'MT', 'Marquinhos Gabriel', 'Germán Cano']",5,10,46%,54%,12,18,4/11 (36%),10/20 (50%),0,4,6,7,1,0,356 (83%),441 (86%),4,6,5,2,0,0,4,8,110,122,0,0,0,0,21,12,22,10,10,21,10,14,430,512,5/19 (26%),9/22 (41%),18,9,0,0,44/74 (59%),26/45 (58%),49,58,1,5,0,0,4,14,2,2,1,1
14/04/2021AméricaRNCruzeiroECCopadoBrasil2021,Copa do Brasil 2021,14/04/2021,21:30,Natal,Estadio das Dunas,América RN,Cruzeiro EC,0,1,0,0,Evaristo Piza,Felipe Conceição,6.89,6.94,"['Samuel Pires', 'Everton Silva', 'Ian Carlo', 'Alisson Brand', 'Peri', 'Juninho', 'Felipe Guedes', 'Elvinho', 'Romarinho', 'Jeferson Caxito', 'Wallace Pernambucano']","['Fábio', 'Raúl Cáceres', 'Weverton', 'Ramon', 'Matheus Pereira', 'Matheus Barbosa', 'Adriano', 'Marcinho', 'Bruno José', 'Rafael Sóbis', 'Airton']",3,8,35%,65%,9,10,16/22 (73%),5/14 (36%),4,3,4,9,1,2,206 (76%),443 (88%),4,5,4,4,0,0,5,8,106,111,1,0,1,0,15,19,16,13,9,19,14,4,271,503,5/14 (36%),6/24 (25%),22,13,0,1,21/45 (47%),28/37 (76%),59,43,2,6,1,1,5,10,1,2,0,0
16/01/2021JuventudeCruzeiroECBrasileiroSerieB2020,Brasileiro Serie B 2020,16/01/2021,19:00,Caxias do Sul,Estádio Alfredo Jaconi,Juventude,Cruzeiro EC,1,0,1,1,Pintado,Luiz Felipe Scolari,6.84,6.85,"['Marcelo Carné', 'Igor', 'Wellington', 'Emerson Silva', 'Eltinho', 'Gabriel Bispo', 'Gustavo Bochecha', 'Capixaba', 'Renato Cajá', 'Rogério', 'Rafael Grampola']","['Fábio', 'Raúl Cáceres', 'Manoel', 'Ramon', 'Matheus Pereira', 'Adriano', 'Machado', 'William Pottker', 'Giovanni', 'Airton', 'Rafael Sóbis']",3,11,35%,65%,22,20,7/9 (78%),12/20 (60%),2,6,2,10,1,0,195 (70%),393 (82%),3,3,3,2,0,0,1,8,124,154,2,0,2,0,18,10,16,8,7,18,14,7,280,482,2/9 (22%),11/33 (33%),29,6,0,1,21/76 (28%),50/77 (65%),53,56,1,4,0,0,5,8,5,3,0,0
20/01/2021CruzeiroECOperárioFerroviárioBrasileiroSerieB2020,Brasileiro Serie B 2020,20/01/2021,21:30,Belo Horizonte,Governador Magalhaes Pinto,Cruzeiro EC,Operário Ferroviário,2,1,1,1,Luiz Felipe Scolari,Matheus Costa,6.86,6.69,"['Fábio', 'Raúl Cáceres', 'Manoel', 'Ramon', 'Matheus Pereira', 'Adriano', 'Machado', 'William Pottker', 'Giovanni', 'Airton', 'Rafael Sóbis']","['Martín Rodríguez', 'Alex Silva', 'Renie', 'Ricardo Silva', 'Fabiano', 'Jean Carlo', 'Marcelo', 'Leandro Vilela', 'Rafael Oller', 'Ricardo Bueno', 'Pedro Ken']",3,6,44%,56%,20,18,8/13 (62%),5/9 (56%),2,1,3,12,4,0,228 (70%),313 (78%),6,5,4,4,1,0,7,9,137,144,3,0,4,0,20,22,10,11,14,13,14,8,327,400,4/14 (29%),2/20 (10%),24,12,0,0,24/70 (34%),33/65 (51%),58,52,5,2,2,0,11,1,1,7,0,2
