key,shots_off_target_casa,shots_off_target_fora,ball_possession_casa,ball_possession_fora,aerials_won_casa,aerials_won_fora,dribbles_casa,dribbles_fora,offsides_casa,offsides_fora,shots_outside_box_casa,shots_outside_box_fora,big_chances_casa,big_chances_fora,accurate_passes_casa,accurate_passes_fora,shots_on_target_casa,shots_on_target_fora,goalkeeper_saves_casa,goalkeeper_saves_fora,counter_attack_goals_casa,counter_attack_goals_fora,corner_kicks_casa,corner_kicks_fora,possession_lost_casa,possession_lost_fora,counter_attack_shots_casa,counter_attack_shots_fora,counter_attacks_casa,counter_attacks_fora,fouls_casa,fouls_fora,tackles_casa,tackles_fora,total_shots_casa,total_shots_fora,interceptions_casa,interceptions_fora,passes_casa,passes_fora,crosses_casa,crosses_fora,clearances_casa,clearances_fora,hit_woodwork_casa,hit_woodwork_fora,long_balls_casa,long_balls_fora,duels_won_casa,duels_won_fora,blocked_shots_casa,blocked_shots_fora,big_chances_missed_casa,big_chances_missed_fora,shots_inside_box_casa,shots_inside_box_fora,yellow_cards_casa,yellow_cards_fora,red_cards_casa,red_cards_fora
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,1,2,33%,67%,8,4,1/7 (14%),3/4 (75%),2,0,2,3,2,0,101 (75%),220 (85%),1,0,0,0,0,0,0,1,54,68,0,0,0,0,0,0,5,7,4,5,8,2,134,260,0/1 (0%),4/18 (22%),14,4,0,0,7/24 (29%),11/22 (50%),20,23,2,3,1,0,2,2,1,4,0,2
03/06/2021CruzeiroECJuazeirenseCopadoBrasil2021,3,4,76%,24%,7,7,3/8 (38%),3/3 (100%),0,2,6,4,0,0,281 (87%),50 (54%),2,2,2,2,0,0,3,6,70,62,0,0,0,0,0,0,4,12,9,6,4,8,323,93,3/12 (25%),2/9 (22%),5,13,0,0,17/29 (59%),11/28 (39%),25,28,4,0,0,0,3,2,0,2,0,0
06/06/2021CruzeiroECCRBBrasileiroSerieB2021,5,2,43%,57%,9,10,4/5 (80%),5/6 (83%),1,1,6,4,2,1,178 (82%),245 (87%),4,2,0,3,0,0,2,4,58,58,0,0,0,0,0,0,5,4,11,6,1,3,216,283,2/12 (17%),3/6 (50%),5,8,0,0,12/22 (55%),20/35 (57%),23,30,2,2,1,0,5,2,1,1,0,0
12/06/2021CruzeiroECGoiásBrasileiroSerieB2021,1,4,59%,41%,7,14,3/5 (60%),2/5 (40%),1,1,3,6,1,1,228 (87%),141 (79%),4,4,4,4,0,0,5,3,63,59,0,0,0,0,0,0,5,9,6,10,3,8,263,178,3/14 (21%),3/8 (38%),6,10,0,0,23/37 (62%),20/39 (51%),21,33,1,2,1,1,3,4,1,0,1,0
16/06/2021PontePretaCruzeiroECBrasileiroSerieB2021,2,2,50%,50%,4,4,5/7 (71%),0/2 (0%),0,0,4,10,0,0,221 (84%),227 (84%),1,3,3,1,0,0,1,1,62,62,0,0,0,0,0,0,4,3,4,10,7,9,263,271,0/6 (0%),0/5 (0%),7,9,0,0,15/35 (43%),28/42 (67%),18,16,1,5,0,0,0,0,2,1,0,0
19/06/2021OperárioFerroviárioCruzeiroECBrasileiroSerieB2021,3,1,51%,49%,7,7,4/6 (67%),2/4 (50%),0,0,3,7,0,0,138 (72%),136 (71%),2,3,2,1,0,0,4,1,83,78,0,0,0,0,0,0,6,8,5,10,7,8,191,191,4/11 (36%),0/4 (0%),6,7,1,0,12/25 (48%),12/33 (36%),26,25,0,6,0,0,2,3,1,0,0,1
24/06/2021CruzeiroECVascodaGamaBrasileiroSerieB2021,4,2,47%,53%,6,4,3/5 (60%),2/7 (29%),0,0,5,3,1,0,209 (87%),240 (88%),4,4,3,2,0,0,4,2,48,55,0,0,0,0,0,0,10,3,9,8,7,5,239,274,4/13 (31%),2/7 (29%),6,4,0,0,22/32 (69%),13/23 (57%),23,16,1,2,0,0,4,5,1,0,1,1
14/04/2021AméricaRNCruzeiroECCopadoBrasil2021,1,2,44%,56%,6,4,12/14 (86%),2/7 (29%),3,1,2,3,0,0,141 (84%),183 (88%),2,2,2,2,0,0,4,4,52,52,0,0,0,0,0,0,7,7,4,6,6,2,167,207,4/9 (44%),2/14 (14%),14,11,0,0,10/14 (71%),14/18 (78%),33,20,1,2,0,0,2,3,0,1,0,0
16/01/2021JuventudeCruzeiroECBrasileiroSerieB2020,0,3,42%,58%,12,9,5/7 (71%),8/9 (89%),0,3,0,2,1,0,122 (74%),179 (82%),2,1,1,1,0,0,1,3,61,68,0,0,0,0,0,0,3,7,2,4,5,2,165,219,1/6 (17%),3/16 (19%),12,5,0,0,9/33 (27%),24/36 (67%),26,32,0,0,0,0,2,2,1,2,0,0
20/01/2021CruzeiroECOperárioFerroviárioBrasileiroSerieB2020,1,3,52%,48%,14,13,3/4 (75%),1/3 (33%),1,0,2,6,1,0,138 (71%),128 (74%),3,3,3,2,1,0,2,2,72,73,1,0,2,0,0,0,6,6,5,7,7,6,195,174,2/5 (40%),1/8 (13%),9,6,0,0,11/36 (31%),15/37 (41%),33,28,1,1,0,0,3,1,1,3,0,0
24/01/2021CruzeiroECNáuticoBrasileiroSerieB2020,3,3,30%,70%,9,6,4/5 (80%),3/3 (100%),0,0,3,3,0,0,67 (70%),186 (83%),1,2,2,1,0,0,2,4,40,54,0,1,0,1,0,0,1,2,6,6,2,1,96,223,1/4 (25%),2/6 (33%),16,3,0,0,12/28 (43%),12/22 (55%),24,20,2,1,0,0,3,3,2,1,1,0
29/01/2021ParanáClubeCruzeiroECBrasileiroSerieB2020,3,1,53%,47%,1,2,2/3 (67%),2/15 (13%),0,1,3,0,0,0,237 (85%),207 (86%),0,0,0,0,0,0,4,0,68,57,0,0,0,0,0,0,14,13,4,2,5,4,278,242,1/7 (14%),0/3 (0%),2,9,0,0,10/23 (43%),19/36 (53%),21,26,1,1,0,0,1,2,0,1,0,0
11/03/2021SãoRaimundoCruzeiroECCopadoBrasil2021,1,5,41%,59%,9,14,3/3 (100%),8/12 (67%),1,2,4,4,1,4,94 (59%),179 (76%),5,3,3,4,0,0,7,3,94,86,0,0,0,0,0,0,4,6,6,10,11,5,159,235,1/13 (8%),4/11 (36%),15,9,0,1,11/43 (26%),14/29 (48%),24,33,0,2,0,4,2,6,2,1,0,0
02/12/2020AméricaMineiroCruzeiroECBrasileiroSerieB2020,2,2,67%,33%,8,9,3/6 (50%),4/7 (57%),0,1,3,3,0,1,214 (83%),88 (72%),1,1,0,1,0,0,2,2,79,60,0,0,0,0,0,0,7,8,4,4,3,7,257,123,1/10 (10%),1/7 (14%),5,15,0,0,16/32 (50%),12/29 (41%),39,28,1,1,0,0,1,1,1,2,0,0
05/12/2020CruzeiroECGrêmioEsportivoBrasilBrasileiroSerieB2020,4,0,51%,49%,6,4,4/6 (67%),1/1 (100%),0,0,4,1,2,1,210 (86%),205 (86%),2,2,1,0,0,0,4,0,54,46,0,0,0,0,0,0,1,3,7,2,3,5,244,239,2/13 (15%),0/2 (0%),2,10,0,0,12/27 (44%),10/25 (40%),19,11,1,0,0,0,3,1,0,1,0,0
08/12/2020CRBCruzeiroECBrasileiroSerieB2020,6,3,58%,42%,6,9,0/1 (0%),2/6 (33%),1,0,2,4,1,1,222 (83%),148 (80%),1,1,1,1,0,0,0,2,59,61,0,0,0,0,0,0,7,6,8,5,5,7,269,184,3/5 (60%),2/10 (20%),4,2,0,0,18/29 (62%),15/28 (54%),22,23,1,1,1,1,6,1,2,0,0,0
11/12/2020VitóriaCruzeiroECBrasileiroSerieB2020,3,0,54%,46%,8,8,1/2 (50%),3/9 (33%),1,2,5,0,0,0,207 (89%),159 (80%),2,1,0,2,0,0,2,1,46,61,0,0,0,0,0,0,8,3,6,1,7,9,233,198,1/6 (17%),3/8 (38%),6,8,0,0,13/19 (68%),21/39 (54%),24,26,1,0,0,0,1,1,1,1,0,0
15/12/2020CruzeiroECCSABrasileiroSerieB2020,4,1,53%,47%,6,5,5/8 (63%),1/1 (100%),1,0,7,0,0,1,186 (87%),147 (79%),3,1,0,3,0,0,2,4,51,61,0,0,0,0,0,0,5,9,9,2,6,3,213,185,0/10 (0%),3/10 (30%),5,8,0,0,24/37 (65%),14/26 (54%),25,21,2,0,0,0,2,2,1,1,0,0
