data,casa,fora,odd_casa,odd_empate,odd_fora
2021-09-18,Goiás,Grêmio Esportivo Brasil,1.53,3.78,6.64
2021-09-18,Botafogo,Náutico,1.71,3.55,4.97
2021-09-18,Londrina,CSA,3.12,2.88,2.5
2021-09-18,Ponte Preta,Guarani,2.92,2.88,2.63
2021-09-17,Confiança,Sampaio Corrêa,2.86,3.06,2.55
2021-09-17,Coritiba,Vila Nova,1.84,3.08,5.03
2021-09-17,Brusque,Vitória,2.24,3.02,3.45
2021-09-17,Clube Do Remo,Avaí,2.88,2.89,2.66
2021-09-16,CRB,Vasco da Gama,2.57,2.92,2.96
2021-09-16,Cruzeiro,Operário Ferroviário,1.71,3.33,5.45
2021-09-12,CRB,Goiás,2.29,3.01,3.35
2021-09-11,Botafogo,Londrina,1.62,3.66,5.67
2021-09-11,Sampaio Corrêa,Operário Ferroviário,2.3,2.97,3.4
2021-09-11,Cruzeiro,Ponte Preta,1.9,3.14,4.55
2021-09-11,Vila Nova,Náutico,2.81,2.90,2.71
2021-09-10,Vitória,Clube Do Remo,1.98,3.03,4.34
2021-09-08,Goiás,Cruzeiro,2.54,2.83,3.07
2021-09-07,Coritiba,Brusque,1.71,3.34,5.26
2021-09-07,Guarani,CSA,1.99,3.08,4.18
2021-09-07,Grêmio Esportivo Brasil,Confiança,2.38,2.88,3.32
2021-09-06,Avaí,Vasco da Gama,2.8,2.86,2.79
2021-09-04,Clube Do Remo,Botafogo,3.61,3.00,2.19
2021-09-04,Náutico,Guarani,2.44,3.07,2.98
2021-09-04,Operário Ferroviário,Vitória,2.2,2.84,3.84
2021-09-04,CSA,Vila Nova,2.27,2.79,3.74
2021-09-03,Brusque,Avaí,2.95,2.92,2.58
2021-09-03,Ponte Preta,Sampaio Corrêa,2.15,3.01,3.69
2021-09-03,Vasco da Gama,Grêmio Esportivo Brasil,1.44,4.01,8.14
2021-09-02,Londrina,Coritiba,3.6,2.73,2.35
2021-09-01,Confiança,CRB,3.34,3.03,2.26
2021-08-29,CRB,Cruzeiro,2.86,2.79,2.78
2021-08-29,Náutico,Vitória,2.0,3.24,3.88
2021-08-29,Vasco da Gama,Ponte Preta,1.97,3.11,4.23
2021-08-29,Sampaio Corrêa,CSA,2.64,2.90,2.91
2021-08-28,Brusque,Londrina,2.09,3.15,3.73
2021-08-28,Coritiba,Botafogo,2.33,2.91,3.37
2021-08-27,Grêmio Esportivo Brasil,Clube Do Remo,3.09,2.90,2.51
2021-08-26,Confiança,Goiás,3.39,3.10,2.22
2021-08-25,Vila Nova,Avaí,3.31,2.83,2.42
2021-08-25,CSA,Náutico,2.53,2.92,3.0
2021-08-24,Guarani,Operário Ferroviário,2.17,2.95,3.72
2021-08-22,Ponte Preta,Brusque,2.04,2.98,4.09
2021-08-22,Londrina,Grêmio Esportivo Brasil,1.94,3.03,4.58
2021-08-22,Goiás,Sampaio Corrêa,1.95,2.98,4.61
2021-08-22,Botafogo,Vila Nova,1.79,3.27,4.91
2021-08-22,Clube Do Remo,CRB,2.61,2.93,2.92
2021-08-21,Operário Ferroviário,Vasco da Gama,2.79,2.90,2.74
2021-08-21,Vitória,Guarani,2.86,2.81,2.77
2021-08-21,Cruzeiro,Confiança,1.47,4.07,7.02
2021-08-20,Avaí,Coritiba,2.5,2.82,3.22
2021-08-20,Grêmio Esportivo Brasil,CSA,3.9,2.82,2.19
2021-08-19,Brusque,Goiás,3.24,3.15,2.26
2021-08-19,CRB,Operário Ferroviário,2.06,2.99,3.97
2021-08-19,Vasco da Gama,Londrina,1.72,3.36,5.28
2021-08-18,Guarani,Botafogo,2.59,2.93,2.92
2021-08-18,Vila Nova,Vitória,2.78,2.78,2.86
2021-08-18,Coritiba,Ponte Preta,2.1,2.81,4.3
2021-08-18,Sampaio Corrêa,Avaí,3.06,2.88,2.54
2021-08-17,Confiança,Clube Do Remo,2.39,3.06,3.12
2021-08-17,Náutico,Cruzeiro,2.75,2.98,2.72
2021-08-15,Operário Ferroviário,Brusque,2.2,2.98,3.62
2021-08-15,Botafogo,Grêmio Esportivo Brasil,1.5,3.84,7.24
2021-08-15,Vitória,CRB,2.6,2.98,2.9
2021-08-15,Londrina,Vila Nova,2.94,2.85,2.68
2021-08-14,Avaí,Náutico,2.31,2.99,3.4
2021-08-14,Cruzeiro,Sampaio Corrêa,1.91,3.05,4.67
2021-08-14,CSA,Coritiba,2.75,2.82,2.88
2021-08-14,Ponte Preta,Confiança,2.11,2.93,4.02
2021-08-14,Clube Do Remo,Vasco da Gama,3.7,2.97,2.17
2021-08-13,Goiás,Guarani,2.15,2.99,3.74
2021-08-13,Operário Ferroviário,Botafogo,3.36,2.78,2.45
2021-08-12,CRB,Brusque,1.91,3.19,4.32
2021-08-12,Sampaio Corrêa,Náutico,3.3,3.09,2.28
2021-08-11,Cruzeiro,Vitória,1.82,3.19,4.86
2021-08-11,Ponte Preta,Londrina,1.98,2.99,4.37
2021-08-11,Grêmio Esportivo Brasil,Coritiba,4.0,2.89,2.12
2021-08-11,Goiás,Clube Do Remo,1.72,3.37,5.23
2021-08-11,Vasco da Gama,Vila Nova,1.9,3.04,4.7
2021-08-10,Avaí,Guarani,2.47,3.01,3.05
2021-08-10,Confiança,CSA,2.78,2.83,2.83
2021-08-08,Botafogo,Ponte Preta,1.7,3.44,5.34
2021-08-08,Londrina,CRB,2.91,2.83,2.71
2021-08-08,Vila Nova,Sampaio Corrêa,2.37,2.80,3.49
2021-08-07,Vitória,Vasco da Gama,2.93,2.87,2.66
2021-08-07,CSA,Avaí,2.6,2.88,3.0
2021-08-07,Náutico,Confiança,1.77,3.38,4.83
2021-08-07,Brusque,Cruzeiro,2.74,3.04,2.68
2021-08-06,Coritiba,Goiás,2.24,2.91,3.64
2021-08-06,Guarani,Grêmio Esportivo Brasil,1.56,3.60,6.81
2021-08-06,Clube Do Remo,Operário Ferroviário,2.5,2.77,3.27
2021-08-03,Brusque,Coritiba,2.69,2.97,2.76
2021-08-01,CRB,Ponte Preta,2.58,2.83,3.09
2021-08-01,Clube Do Remo,CSA,2.82,2.75,2.88
2021-08-01,Botafogo,Vasco da Gama,2.47,3.01,3.04
2021-08-01,Brusque,Confiança,2.02,3.23,3.86
2021-07-31,Grêmio Esportivo Brasil,Sampaio Corrêa,2.8,2.75,2.91
2021-07-31,Vitória,Avaí,2.54,2.92,3.06
2021-07-31,Guarani,Vila Nova,1.77,3.13,5.61
2021-07-31,Cruzeiro,Londrina,1.81,3.21,4.99
2021-07-30,Coritiba,Náutico,2.49,2.82,3.25
2021-07-30,Goiás,Operário Ferroviário,1.91,3.17,4.45
2021-07-28,Avaí,Clube Do Remo,1.95,3.09,4.36
2021-07-28,Botafogo,CSA,2.12,3.13,3.63
2021-07-25,Avaí,Grêmio Esportivo Brasil,1.61,3.50,6.14
2021-07-25,Sampaio Corrêa,CRB,2.05,3.07,4.04
2021-07-25,Operário Ferroviário,Coritiba,2.74,2.63,3.12
2021-07-25,CSA,Vitória,2.34,2.93,3.37
2021-07-25,Vasco da Gama,Guarani,2.28,3.02,3.37
2021-07-24,Náutico,Brusque,1.7,3.62,4.94
2021-07-24,Confiança,Botafogo,3.07,3.08,2.4
2021-07-24,Vila Nova,Cruzeiro,3.47,2.90,2.31
2021-07-23,Ponte Preta,Goiás,2.77,2.87,2.8
2021-07-23,Londrina,Clube Do Remo,2.63,2.80,3.02
2021-07-23,Avaí,Operário Ferroviário,2.15,2.97,3.78
2021-07-22,Coritiba,CRB,1.89,3.05,4.78
2021-07-22,CSA,Vasco da Gama,3.01,2.87,2.6
2021-07-22,Náutico,Grêmio Esportivo Brasil,1.49,3.89,7.15
2021-07-21,Vila Nova,Brusque,2.58,2.86,3.06
2021-07-21,Vitória,Ponte Preta,2.24,2.91,3.65
2021-07-20,Botafogo,Goiás,2.22,3.07,3.47
2021-07-20,Guarani,Sampaio Corrêa,1.76,3.19,5.39
2021-07-20,Londrina,Confiança,2.48,2.92,3.13
2021-07-20,Clube Do Remo,Cruzeiro,3.15,2.91,2.47
2021-07-18,CRB,Vila Nova,1.98,3.07,4.28
2021-07-18,Vasco da Gama,Náutico,2.1,3.15,3.69
2021-07-17,Brusque,Botafogo,3.01,3.07,2.46
2021-07-17,Operário Ferroviário,CSA,2.25,2.75,3.9
2021-07-17,Ponte Preta,Clube Do Remo,1.86,3.10,4.85
2021-07-17,Cruzeiro,Avaí,2.18,2.97,3.71
